Entidad federativa,2020,Habitantes por Km2
Baja California Sur,10.8,0-22
Durango,14.9,0-22
Chihuahua,15.1,0-22
Campeche,16.1,0-22
Sonora,16.4,0-22
Coahuila,20.8,0-22
Zacatecas,21.5,0-22
Quintana Roo,41.6,23-60
Tamaulipas,44.0,23-60
Oaxaca,44.1,23-60
Nayarit,44.4,23-60
San Luis Potosí,46.2,23-60
Baja California,52.8,23-60
Sinaloa,52.8,23-60
Guerrero,55.7,23-60
Yucatán,58.7,23-60
Estados Unidos Mexicanos,64.3,60-120
Chiapas,75.6,60-120
Michoacán,81.0,60-120
Nuevo León,90.2,60-120
Tabasco,97.1,60-120
Jalisco,106.2,60-120
Veracruz,112.3,60-120
Colima,130.0,120-450
Hidalgo,148.1,120-450
Puebla,191.9,120-450
Guanajuato,201.5,120-450
Querétaro,202.6,120-450
Aguascalientes,253.9,120-450
Tlaxcala,336.0,120-450
Morelos,404.1,120-450
México,760.2,450 – 7000
Ciudad de México,"6,163.3",450 – 7000
